Name;Symbol;KIND;Industry;Target Price
AbbVie Inc.;ABBV;H;Pharmaceuticals;211
Advanced Micro Devices, Inc.;AMD;;Semiconductors & Semiconductor Equipment;200
Alibaba Group Holding Limited;BABA;;Automobiles & Auto Parts;
Alphabet Inc.;GOOGL;7;Software & IT Services;285
Amazon.com, Inc.;AMZN;7;Diversified Retail;
Apple Inc.;AAPL;7;Computers, Phones & Household Electronics;220
Arista Networks, Inc.;ANET;;Communications & Networking;117
ASML Holding N.V. - New York Re;ASML;;Automobiles & Auto Parts;
AST SpaceMobile, Inc.;ASTS;;Telecommunications Services;
Berkshire Hathaway Inc. New;BRK.B;;Consumer Goods Conglomerates;
Brilliant Earth Group, Inc.;BRLT;;Specialty Retailers;1,6
Cameco Corporation;CCJ;U;Uranium;77
Coca-Cola Company (The);KO;;Beverages;
D-Wave Quantum Inc.;QBTS;Kv;Software & IT Services;19
EnerSys;ENS;;Machinery, Equipment & Components;
Intel Corporation;INTC;;Semiconductors & Semiconductor Equipment;
IonQ, Inc.;IONQ;Kv;Software & IT Services;41
Marvell Technology, Inc.;MRVL;;Semiconductors & Semiconductor Equipment;
MercadoLibre, Inc.;MELI;;e-commerce;555555555
Meta Platforms, Inc.;META;7;Software & IT Services;600
Microsoft Corporation;MSFT;7;Software & IT Services;470
Nebius Group N.V.;NBIS;;Professional & Commercial Services;65
NuScale Power Corporation;SMR;U;Electrical Utilities & IPPs;12
NVIDIA Corporation;NVDA;7;Semiconductors & Semiconductor Equipment;180
Oklo Inc.;OKLO;U;Electrical Utilities & IPPs;75
Palantir Technologies Inc.;PLTR;;Software & IT Services;
Pepsico, Inc.;PEP;;Beverages;
Realty Income Corporation;O;;Residential & Commercial REIT;56
Rigetti Computing, Inc.;RGTI;Kv;Semiconductors & Semiconductor Equipment;19
SoFi Technologies, Inc.;SOFI;;Banking Services;
Taiwan Semiconductor Manufactur;TSM;;Semiconductors & Semiconductor Equipment;270
Tesla, Inc.;TSLA;7;Automobiles & Auto Parts;
UnitedHealth Group Incorporated;UNH;H;Healthcare Providers & Services;
Uranium Energy Corp.;UEC;U;Uranium;10
Visa Inc.;V;;Software & IT Services;320
